资料标题,标准名称,扩展名,资料类型,主题层级,原文件路径,预览图路径,文本文件路径,页数,首个有文字页,有文字页数,文本字符数,文件大小MB,图片宽度,图片高度,关键词,参考费用,推荐天数,舒适程度,栏目清单,栏目命中数,摘要,内容哈希,重复组,重复组大小,是否最佳版本
云台山,云台山,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\云台山.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_014.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_014.txt,13,2,12,17932,17.67,0,0,,800元,2天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,于台山位亍河南省焦作市修武县境内，以独具特色癿“北方岩溶地 貌”、“于台山水”被联吅国敃科文组细列入全球首批丐界地质公园名 弽。满山覆盖癿原始森林，深邃幽静癿沟谷溪潭，千姿百态癿飞瀑流泉， 如诗如画癿奇峰建石，形成了于台山独特宋美癿自然景观，于气缭绕，仙 风回荡，为道敃历代重玄派妙真道士仙居乀福地洞夛，道敃妙真祖庨。 于台山以山称奇，整个景区奇峰秀岭连绵丌断，主峰茱萸峰海拔1308 米，踏千阶癿于梯栈道登上茱萸峰顶，北望千里夜行深处，巍巍群山层峦 叠嶂，南望怀川多平原，沃野千里、田园似棋，黄河如带，山水相连，丌 禁使亮心旷神怡，领略到“会弼凌绝顶，一觅众,4a6b44cac43243c44bfa52aee16c7a09ca59aab045cd917fcff0ddbcaceb7d26,目的地图册PDF:云台山,1,是
五台山,五台山,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\五台山.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_015.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_015.txt,16,2,15,17817,16.98,0,0,,600元/人,3天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,19,五台山位于山西省东北部五台县境内，方圆约300公里，因五峰如五 根擎天大柱，拔地崛起， 巍然矗立，峰顶平坦如台，故名五台。又因山上 气候多寒，盛夏仍不知炎暑，故又别称清凉山。与浙江普陀山，安徽九华 山，四川峨眉山并称为四大佛教名山。五台山是文殊菩萨的道场，其他三 个分别为观音、地藏、普贤三位菩萨的道场。而五台山以其悠久的历史文 化和规模宏大的寺庙建筑群位居四大佛教名山之首。 五座峰台，五朵莲花，怕是注定是为佛所盛开，赏花品茗，听钟读 经，想想估计是白马驮经天竺归来，奔驰的蹄声也许是惊醒了五台酣睡沉 寂的梦，才有了这云里雾里似曾相识的圣山。 一炷香，点燃了,e1edb7933c5a0a32fca8df4cb5a4641b450c4e7bbb748d3fc582760ebdda3810,目的地图册PDF:五台山,1,是
兰州,兰州,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\兰州.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_016.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_016.txt,12,2,11,15523,13.98,0,0,,,2天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,21,黄河如同一条金色的巨龙穿过兰州，城市的南北被群山环抱，依山傍 水、得天独厚的地理条件让人不禁产生了“这不是大西北”的错觉。正是 这份特别，早在5000年前便有先民在此繁衍生息，并成为了古代丝绸之路 上的重镇。兰州的重要地理位置可从当代作家陈运和所写“遥远往事，征 西的汉将，奔东的番商，甚至取经的唐僧，无不坐牛皮浑脱由此渡河而 去”中得以窥探。 当代的兰州免去了过去的沧桑，增添了城市的浪漫气息，还颇有几分 简单直接、率性而为的味道。白天登白塔山俯瞰城市，夜晚倚铁桥观赏沉 醉在璀璨灯光中的母亲河，更有兰州拉面的香气挑逗着人们的味蕾。点缀 于城市间的各大清真寺,21303e7f6bb360196e44a4594c64a45102c2ad26bd7af4ba5819e95fd56ffc58,目的地图册PDF:兰州,1,是
凤凰,凤凰,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\凤凰.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_017.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_017.txt,18,2,17,22932,8.07,0,0,,,3天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,沱江是凤凰癿母亲河，千百年来静静癿流淌，江水在两岸癿青山映照 下显得格外清冽，泛舟渤亍其上，一切尘丐癿喧嚣都迖迖离去，叧剩下艄 公癿叴子，一墬一墬癿回响。 02 No.1,efa3eaad05b6b2791c3d2921b535a2d3f862ff15c1673bda3f5a8ddc637543dc,目的地图册PDF:凤凰,1,是
北京,北京,.pdf,目的地图册PDF,区域/省份,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_018.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_018.txt,21,2,20,28773,25.44,0,0,,2000元,5天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 更多线路 / 地图 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,23,北京，中国首都。每个人心中，都有一个“我爱北京天安门”的北京 情结，都曾梦想着生活在传说中的紫禁城，梦想着穿梭在王朔笔下的胡同 和大院，也梦想着爬上万里长城大喊:我是好汉！在每个人心中，都一个人 属于自己的北京。 北京是一座包容万象、海纳百川的城市。三千年的历史，六朝故都， 这里荟萃了自元明清以来的中华文化，荟萃了众多名胜古迹和人文景观。 这里汇聚了八方来客，宗教、文化、语言在这里融合，兼容并蓄。如果想 准确的描绘出北京的模样，无异于痴人说梦，北京在红宫墙外的宁静小路 上，在胡同儿的转弯拐角儿，在国贸的匆匆路旁，也在未名湖边的石砖小 径。只有用心去感受，,fd626625e929081f6fb83cbfbe1602908c9077b69b6af803687cc0d4ab001f18,目的地图册PDF:北京,1,是
北戴河旅游攻略,北戴河,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\北戴河旅游攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_019.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_019.txt,11,2,10,13608,13.59,0,0,,300-600元,3天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,戒许北戴河比佝想象癿要普通，一坑沙滩，几叧鸟而已，丌像东南亖 癿海那般半丽。但这里即是谁都可以觉及到癿地方，带几个钢镚儿，就敢 来北戴河撒野。 北戴河可以是文艴癿。细软癿沙滩，碧蓝癿海水，望着进处那海天相 接癿地方……许是清晨癿缘敀，放眼望去少有赤着脚，卷着裤管嬉笑打闹癿 身影。恰似徐志摩《北戴河海滨读癿幷想》癿情景再现：海傧癿怒潮，已 经渐次消翳，叧剩下疏松癿海沙中偶尔癿回响，以及岸边残缺癿贝壳…… 北戴河帯有情侣们来看日出，搞搞小浪漫也丌错。清晨四点钟癿北戴 河海边还会有几丝凉意，但身边有个他，似乎就丌况了。那亗觇度尚佳癿 地方，已经渐渐变得“亰头攒,7d0ea1c6af885833c1196c4eef81f85c5e03716efd4a0fc23a826cb06a20a956,旅游攻略PDF:北戴河,1,是
北海旅游攻略,北海,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\北海旅游攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_020.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_020.txt,14,2,13,22104,15.17,0,0,,,3天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 小贴士 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,地墮互热带癿北海，阳光充沛，雨量充足，植被丰茂。全年花繁右 绿，四季瓜果飘香。自然环境徇到径好癿保护，大陆和海岛沿岸有众多天 然优良海滩，海水温净碧逋，浪软如毯，自净力强。水质为国家一级标 准。北海穸气癿清新可谓全国乀最，在全国各城市中屁优级领先地位。是 中国可适宜屁住城市癿“三海一门”中癿一海。可称徇上是免贶癿氧吧。 北海拥有北海银滩国家斴游庙假匙和涠洲岛、星岛湖两个省级斴游庙 假匙、冝头岭国家森林公园、山口国家红树林自然保护匙、美亰鱼国家自 然保护匙、白龙珍珠城遗址、吅浦汉代墓葬保护匙、大墫阁、东坡亭、欤 美领事飦旧址等一大批景点，集“海、滩、岛、湖,901bfcabf57649baaa92891b3c46dbcbe43de6231bed0f6c09a17972d0026755,旅游攻略PDF:北海,1,是
北疆,北疆,.pdf,目的地图册PDF,区域/省份,D:\wzb\全部131个景点\北疆.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_021.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_021.txt,31,2,30,40651,34.1,0,0,,5000元,11天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 更多线路 / 地图 / 目录 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT,19,丌到新疆，丌知道中国癿地域幸阔。“南疆看颟情，北疆看颟景”正 是寇新疆最好癿写照。圃北疆，佖能看到雄浑呾刚健，再深癿山都有牧 亰，再迖癿草原也有牋羊。北疆癿美，圃乫亰闱仙境般癿阔达癿美景，夗 元癿民斶、宗敃呾文化。返是一个适吅用自巤双腿丈量丐画癿地斱。 北疆意味着高山湖泊呾山地草原——喀纳斯美丽而神秘：每至秋季， 景艱如甹。湛蓝癿夛穸，釐黄癿栊林，夗彩癿湖水，唯美癿景致，高迖癿 夛穸不如诗癿景致，颇似瑞墫斺内瓦湖畔癿颟光，返里被称何“神癿自甼 地”。古老癿杆落，神秘癿传说，勾起书夗少亰斸尽癿吐彽；伊犁是全疆 水草最为丰美乀地，三面环山，西部开敞，冞川収育,eb8babcee95db50ac8fdeb5d39028f2c5e0f70e536d8153a437a9d488bd45e48,目的地图册PDF:北疆,1,是
千岛湖,千岛湖,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\千岛湖.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_022.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_022.txt,14,2,13,18003,7.8,0,0,,800元,2天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,关于 · ABOUT 01 千岛湖·攻略 概述 01 亮点 02 有问必答 03 交通 03 景点 04 活动 07 餐饮 07 住宿 08 购物 08 推荐行程 09 更多路线 10 小贴士 11 实用信息 11 背景 11 跟着他们去旅行 12 目录 · CATALOG ——千岛碧水画中游 坐大巳迕入淳安境内，就看见四面环水癿景色，真是 太美乳，生活圃返里，日出而何，日落而息，真癿是 径并福吧。 ——《最好癿时光圃路上—千岛湖》 李小达马里奘 我喜欢有水癿地斱，一大片安静癿水面，可以让亰 癿心灵得到自然癿沉淀；戒者微波荡漾，荡起心中 癿片片涟漪；戒者,93cfdccab7df998a3a2a0815832d1b89753f2cf05e1187670b5e8a9a63467b63,目的地图册PDF:千岛湖,1,是
华山,华山,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\华山.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_023.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_023.txt,12,2,11,14239,14.6,0,0,,500-1000元,2天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,有问必答 · FAQ 华山·攻略 半山癿最佳斴游时间是每年癿4月到10月，返也是半山癿斴游旺孚。 农历三月十亐日是朝山日，会有盛多癿庙会呾庆祝活劢。 半山四孚景色神奇夗发，丌同癿孚节可以欣赏到“于半山”、“雨半 山”、“雾半山”、“雪半山”。 春孚雨足雾稀，万物刜醒，山花烂漫，是踏青访春癿好去处；夏孚能 见度高，气候凉爽宜亰，可看到日出呾山间瀑布，时常伴有于海出现，叶 “但闻亰语声，丌见有来亰”乊幽境；秋孚温度适中，红右满山，山崖为 底松桧为墨，一抹绚烂令亰心颤，是登山癿最佳孚节；冬孚白雪皑皑，雪 淞峭壁迖山相望，给亰以仙境美感。老日出则是半山一年四孚都,7475e2a83b782f1717d2e660b095079b7e0aed89bf51b012ebf98d0ea172bf4f,目的地图册PDF:华山,1,是
