所在城市,所在省份,景点样本数,游客样本量,平均评分,平均消费金额,平均访问时长(小时),高频景点,高频季节,高频交通方式,高频游客来源省
南京市,江苏,3,649,4.37,176.89,4.43,南京博物院(223) / 中山陵(215) / 夫子庙秦淮风光带(211),春季(182) / 秋季(171) / 冬季(152),高铁+大巴(70) / 飞机+大巴(65) / 空调大巴(50),浙江省(28) / 海南省(28) / 澳门特别行政区(26) / 西藏自治区(24) / 安徽省(24)
九江市,江西,3,645,4.39,210.29,4.46,鄱阳湖(218) / 东林寺(214) / 庐山(213),春季(188) / 冬季(156) / 夏季(152),高铁+大巴(70) / 空调大巴(66) / 飞机+大巴(64),海南省(29) / 河南省(28) / 北京市(26) / 山西省(25) / 甘肃省(24)
合肥市,安徽,2,493,4.46,182.73,4.52,巢湖(248) / 三河古镇(245),夏季(139) / 秋季(125) / 春季(117),高铁+大巴(52) / 飞机+大巴(47) / 空调大巴(43),辽宁省(22) / 西藏自治区(19) / 江苏省(18) / 宁夏回族自治区(17) / 河南省(17)
承德市,河北,2,492,4.26,275.73,4.55,金山岭长城(254) / 承德避暑山庄(238),冬季(136) / 夏季(123) / 春季(117),飞机+大巴(46) / 空调大巴(44) / 高铁+大巴(34),天津市(22) / 广东省(21) / 台湾省(20) / 四川省(18) / 福建省(18)
大理州,云南,2,492,4.25,213.51,4.38,崇圣寺三塔(253) / 大理古城(239),冬季(142) / 春季(124) / 夏季(122),高铁+大巴(53) / 空调大巴(51) / 飞机+大巴(43),天津市(27) / 福建省(21) / 浙江省(20) / 内蒙古自治区(20) / 吉林省(19)
舟山市,浙江,2,488,4.69,304.22,4.47,舟山朱家尖(257) / 普陀山(231),春季(135) / 秋季(126) / 夏季(120),飞机+大巴(62) / 空调大巴(45) / 高铁+大巴(42),吉林省(25) / 陕西省(24) / 河南省(21) / 澳门特别行政区(21) / 湖南省(19)
甘孜州,四川,2,484,4.84,301.87,4.55,稻城亚丁(243) / 海螺沟(241),夏季(138) / 春季(131) / 冬季(114),飞机+大巴(66) / 高铁+大巴(56) / 空调大巴(50),浙江省(21) / 山东省(20) / 天津市(20) / 安徽省(20) / 广东省(19)
唐山市,河北,2,480,4.45,224.89,4.58,唐山南湖(241) / 清东陵(239),秋季(140) / 春季(122) / 夏季(113),飞机+大巴(55) / 高铁+大巴(51) / 空调大巴(43),宁夏回族自治区(22) / 山西省(21) / 上海市(20) / 台湾省(18) / 江苏省(18)
邯郸市,河北,2,477,4.43,256.09,4.51,广府古城(251) / 娲皇宫(226),春季(135) / 冬季(124) / 夏季(116),空调大巴(59) / 飞机+大巴(48) / 高铁+大巴(47),辽宁省(19) / 江西省(19) / 江苏省(18) / 甘肃省(18) / 山东省(18)
柳州市,广西,2,477,4.26,207.57,4.5,三江程阳八寨(245) / 柳州龙潭公园(232),秋季(125) / 夏季(120) / 冬季(117),空调大巴(57) / 高铁+大巴(52) / 飞机+大巴(46),河南省(24) / 上海市(20) / 湖北省(19) / 海南省(19) / 澳门特别行政区(19)
惠州市,广东,2,475,4.63,205.5,4.54,惠州西湖(246) / 罗浮山(229),夏季(137) / 春季(130) / 冬季(106),高铁+大巴(51) / 飞机+大巴(49) / 空调大巴(44),河南省(23) / 江西省(23) / 澳门特别行政区(21) / 湖南省(19) / 香港特别行政区(19)
景德镇市,江西,2,474,4.63,231.9,4.42,景德镇古窑(248) / 景德镇陶瓷博物馆(226),秋季(125) / 夏季(119) / 春季(115),高铁+大巴(52) / 飞机+大巴(48) / 空调大巴(45),香港特别行政区(22) / 澳门特别行政区(22) / 北京市(20) / 河北省(19) / 宁夏回族自治区(19)
郴州市,湖南,2,474,4.54,253.36,4.38,东江湖(242) / 莽山(232),秋季(125) / 冬季(119) / 春季(118),高铁+大巴(61) / 飞机+大巴(48) / 空调大巴(47),陕西省(21) / 广东省(21) / 江西省(20) / 吉林省(19) / 山东省(18)
郑州市,河南,2,473,4.55,260.99,4.52,少林寺(240) / 黄河风景区(233),春季(124) / 冬季(120) / 夏季(116),空调大巴(45) / 飞机+大巴(44) / 高铁+大巴(39),内蒙古自治区(22) / 重庆市(18) / 甘肃省(18) / 贵州省(18) / 香港特别行政区(17)
莆田市,福建,2,472,4.44,237.74,4.48,莆田九鲤湖(258) / 湄洲岛(214),夏季(139) / 冬季(114) / 春季(111),高铁+大巴(46) / 飞机+大巴(41) / 空调大巴(39),河南省(23) / 台湾省(21) / 香港特别行政区(20) / 浙江省(19) / 海南省(19)
威海市,山东,2,472,4.38,279.83,4.62,刘公岛(247) / 威海华夏城(225),夏季(125) / 春季(121) / 秋季(120),飞机+大巴(47) / 空调大巴(42) / 高铁+大巴(32),陕西省(26) / 湖南省(20) / 河北省(20) / 浙江省(19) / 香港特别行政区(18)
红河州,云南,2,472,4.2,212.12,4.59,建水古城(236) / 元阳梯田(236),春季(126) / 夏季(123) / 冬季(112),高铁+大巴(48) / 空调大巴(46) / 飞机+大巴(40),浙江省(23) / 湖南省(20) / 山西省(20) / 云南省(19) / 内蒙古自治区(19)
岳阳市,湖南,2,470,4.71,232.37,4.47,岳阳楼(242) / 岳阳君山岛(228),春季(136) / 夏季(132) / 秋季(104),高铁+大巴(53) / 飞机+大巴(33) / 空调大巴(30),内蒙古自治区(21) / 福建省(18) / 西藏自治区(18) / 甘肃省(17) / 云南省(17)
常德市,湖南,2,470,4.26,239.53,4.62,桃花源(248) / 柳叶湖(222),秋季(123) / 春季(117) / 夏季(116),高铁+大巴(58) / 飞机+大巴(56) / 空调大巴(46),广西壮族自治区(21) / 河南省(20) / 辽宁省(20) / 四川省(20) / 江西省(20)
太原市,山西,2,469,4.18,229.33,4.57,晋祠(247) / 太原汾河公园(222),春季(131) / 冬季(129) / 秋季(106),高铁+大巴(45) / 飞机+大巴(40) / 空调大巴(37),福建省(24) / 贵州省(20) / 湖南省(18) / 陕西省(18) / 广东省(17)
湖州市,浙江,2,467,4.63,266.15,4.5,莫干山(242) / 南浔古镇(225),春季(133) / 夏季(121) / 秋季(110),飞机+大巴(52) / 高铁+大巴(52) / 空调大巴(48),上海市(20) / 陕西省(19) / 黑龙江省(19) / 澳门特别行政区(18) / 吉林省(18)
海口市,海南,2,467,3.98,188.47,4.44,海口骑楼老街(235) / 海口火山口(232),春季(123) / 冬季(120) / 秋季(113),高铁+大巴(52) / 空调大巴(51) / 飞机+大巴(42),辽宁省(22) / 广东省(22) / 西藏自治区(21) / 湖南省(18) / 湖北省(18)
西双版纳州,云南,2,465,4.34,241.36,4.51,西双版纳野象谷(242) / 西双版纳热带植物园(223),春季(129) / 夏季(115) / 秋季(111),飞机+大巴(50) / 高铁+大巴(41) / 空调大巴(37),河南省(20) / 甘肃省(19) / 海南省(19) / 广东省(18) / 湖北省(18)
白山市,吉林,2,464,4.46,272.71,4.63,露水河国家森林公园(235) / 白山长白山大峡谷(229),夏季(132) / 冬季(120) / 春季(114),空调大巴(48) / 飞机+大巴(47) / 高铁+大巴(43),广东省(24) / 辽宁省(20) / 湖北省(19) / 吉林省(19) / 香港特别行政区(19)
萍乡市,江西,2,464,4.38,192.56,4.69,武功山(234) / 安源路矿工人运动纪念馆(230),春季(129) / 夏季(123) / 秋季(107),高铁+大巴(58) / 飞机+大巴(44) / 空调大巴(32),河南省(21) / 内蒙古自治区(19) / 广西壮族自治区(18) / 湖北省(18) / 福建省(18)
临汾市,山西,2,463,4.4,254.9,4.52,壶口瀑布(248) / 洪洞大槐树(215),秋季(125) / 春季(124) / 夏季(112),飞机+大巴(52) / 空调大巴(35) / 高铁+大巴(34),澳门特别行政区(23) / 福建省(19) / 山西省(18) / 重庆市(17) / 台湾省(17)
乐山市,四川,2,462,4.64,298.83,4.54,峨眉山(252) / 乐山大佛(210),秋季(130) / 夏季(124) / 冬季(111),高铁+大巴(64) / 空调大巴(43) / 飞机+大巴(41),安徽省(24) / 山西省(18) / 重庆市(18) / 北京市(18) / 贵州省(17)
烟台市,山东,2,462,4.44,248.71,4.52,烟台山(237) / 蓬莱阁(225),夏季(119) / 秋季(116) / 冬季(115),空调大巴(50) / 高铁+大巴(44) / 飞机+大巴(40),安徽省(20) / 陕西省(18) / 江苏省(18) / 广东省(18) / 西藏自治区(18)
龙岩市,福建,2,460,4.32,278.37,4.52,福建土楼(239) / 龙岩冠豸山(221),冬季(119) / 秋季(117) / 春季(114),飞机+大巴(59) / 高铁+大巴(51) / 空调大巴(38),辽宁省(20) / 台湾省(19) / 上海市(18) / 海南省(18) / 浙江省(18)
张家界市,湖南,2,459,4.63,426.1,4.47,天门山(236) / 张家界武陵源(223),秋季(123) / 夏季(117) / 春季(112),空调大巴(51) / 高铁+大巴(46) / 飞机+大巴(45),西藏自治区(24) / 安徽省(20) / 陕西省(18) / 甘肃省(18) / 河南省(18)
台州市,浙江,2,458,4.58,265.08,4.65,天台山(238) / 台州神仙居(220),秋季(136) / 春季(116) / 冬季(103),空调大巴(48) / 高铁+大巴(42) / 飞机+大巴(41),湖北省(23) / 内蒙古自治区(21) / 河北省(20) / 福建省(20) / 广东省(19)
温州市,浙江,2,455,4.74,260.33,4.59,温州楠溪江(236) / 雁荡山(219),冬季(117) / 夏季(114) / 秋季(114),飞机+大巴(56) / 空调大巴(45) / 高铁+大巴(37),陕西省(21) / 青海省(19) / 安徽省(18) / 山东省(18) / 台湾省(17)
北海市,广西,2,454,4.67,225.66,4.41,北海银滩(238) / 涠洲岛(216),春季(127) / 秋季(122) / 夏季(104),空调大巴(49) / 高铁+大巴(48) / 飞机+大巴(38),广东省(20) / 福建省(20) / 河南省(20) / 湖北省(19) / 香港特别行政区(18)
通化市,吉林,2,452,4.45,243.34,4.31,高句丽遗址(232) / 龙湾群国家森林公园(220),秋季(126) / 春季(113) / 夏季(108),高铁+大巴(57) / 飞机+大巴(41) / 空调大巴(38),贵州省(20) / 湖北省(20) / 浙江省(18) / 河南省(18) / 澳门特别行政区(18)
安庆市,安徽,2,451,4.56,246.63,4.62,安庆振风塔(229) / 天柱山(222),春季(123) / 秋季(111) / 夏季(110),空调大巴(47) / 高铁+大巴(42) / 飞机+大巴(40),河南省(22) / 浙江省(20) / 西藏自治区(19) / 湖南省(18) / 海南省(18)
宝鸡市,陕西,2,446,4.63,271.15,4.46,太白山(233) / 法门寺(213),秋季(113) / 夏季(112) / 春季(111),飞机+大巴(56) / 空调大巴(46) / 高铁+大巴(40),福建省(21) / 上海市(19) / 重庆市(18) / 江苏省(18) / 西藏自治区(18)
秦皇岛市,河北,2,445,4.42,192.11,4.55,山海关(228) / 北戴河(217),春季(114) / 秋季(112) / 冬季(110),飞机+大巴(48) / 高铁+大巴(45) / 空调大巴(40),江苏省(19) / 西藏自治区(19) / 甘肃省(18) / 上海市(17) / 安徽省(17)
黑河市,黑龙江,2,441,4.35,229.98,4.48,黑河瑷珲古城(225) / 五大连池(216),春季(127) / 夏季(117) / 冬季(104),飞机+大巴(55) / 高铁+大巴(42) / 空调大巴(35),河北省(22) / 湖北省(20) / 甘肃省(19) / 澳门特别行政区(19) / 天津市(18)
南昌市,江西,2,440,4.28,194.95,4.41,南昌八一起义纪念馆(233) / 滕王阁(207),夏季(124) / 冬季(110) / 秋季(106),高铁+大巴(51) / 空调大巴(45) / 飞机+大巴(41),海南省(23) / 四川省(19) / 陕西省(19) / 宁夏回族自治区(19) / 湖南省(18)
常州市,江苏,2,438,4.69,399.44,4.61,常州中华恐龙园(228) / 天目湖(210),秋季(121) / 冬季(111) / 夏季(105),高铁+大巴(50) / 空调大巴(40) / 飞机+大巴(39),黑龙江省(24) / 湖南省(20) / 河北省(20) / 宁夏回族自治区(19) / 北京市(17)
南平市,福建,2,438,4.41,278.54,4.57,武夷山(226) / 南平和平古镇(212),夏季(114) / 冬季(111) / 秋季(107),飞机+大巴(50) / 空调大巴(42) / 高铁+大巴(38),香港特别行政区(21) / 西藏自治区(20) / 湖北省(18) / 上海市(16) / 台湾省(16)
牡丹江市,黑龙江,2,434,4.53,288.25,4.37,镜泊湖(224) / 中国雪乡(210),冬季(119) / 秋季(112) / 夏季(105),高铁+大巴(44) / 飞机+大巴(41) / 空调大巴(40),西藏自治区(18) / 河南省(18) / 浙江省(18) / 上海市(18) / 澳门特别行政区(16)
丹东市,辽宁,2,434,4.2,237.86,4.43,鸭绿江断桥(228) / 丹东凤凰山(206),秋季(114) / 冬季(111) / 夏季(110),高铁+大巴(51) / 空调大巴(45) / 飞机+大巴(41),重庆市(20) / 广东省(17) / 安徽省(17) / 海南省(17) / 江苏省(16)
赣州市,江西,2,426,4.25,233.13,4.45,通天岩(216) / 瑞金共和国摇篮(210),秋季(116) / 春季(111) / 夏季(108),空调大巴(46) / 高铁+大巴(43) / 飞机+大巴(35),山西省(18) / 贵州省(18) / 河南省(18) / 海南省(17) / 安徽省(16)
保山市,云南,2,424,4.56,245.08,4.47,和顺古镇(216) / 腾冲热海(208),夏季(118) / 冬季(106) / 春季(103),空调大巴(44) / 飞机+大巴(41) / 高铁+大巴(34),广西壮族自治区(20) / 宁夏回族自治区(20) / 重庆市(19) / 陕西省(19) / 福建省(18)
滁州市,安徽,2,419,4.24,264.96,4.55,琅琊山(218) / 明皇陵(201),秋季(109) / 春季(106) / 夏季(103),空调大巴(49) / 高铁+大巴(46) / 飞机+大巴(33),安徽省(22) / 河北省(21) / 内蒙古自治区(18) / 台湾省(18) / 天津市(17)
