游客记录哈希,游客性别,游客年龄,游客年龄段,游客来源省,景点名称,景点类型,景点等级,所在城市,所在省份,门票价格,访问日期,访问年份,访问月份,访问季度,访问时长(小时),消费金额,门票消费,其他消费,评分,是否跟团,团费,行程天数,主要景点,交通方式,季节,是否节假日,推荐程度,满意度
5976c19ae90f,男,67,56+,内蒙古自治区,少林寺,宗教文化,5A,郑州市,河南,100,2022-12-30,2022,12,4,2.3,100.0,100,0.0,3.9,否,,,,,冬季,否,推荐,满意
52930d205efb,女,55,46-55,山西省,杭州西溪湿地,自然风光,5A,杭州市,浙江,80,2023-12-14,2023,12,4,4.1,163.2,80,83.2,4.4,否,,,,,冬季,否,推荐,满意
d9bd0749cb7d,女,54,46-55,安徽省,长春世界雕塑园,文化艺术,5A,长春市,吉林,30,2025-03-27,2025,3,1,2.2,272.27,30,242.27,4.1,否,,,,,春季,否,推荐,满意
8f1b776488d3,男,43,36-45,吉林省,分界洲岛,自然风光,5A,陵水县,海南,132,2022-12-23,2022,12,4,4.4,132.0,132,0.0,4.7,否,,,,,冬季,否,强烈推荐,非常满意
b8f83b198e54,男,29,26-35,山西省,香格里拉,自然文化,5A,迪庆州,云南,0,2023-02-02,2023,2,1,2.8,364.22,0,364.22,4.2,是,1896.0,4.0,"大连森林动物园,北京植物园,太阳岛",飞机+大巴,冬季,是,推荐,满意
465ec63da043,男,28,26-35,新疆维吾尔自治区,华清宫,历史文化,5A,西安市,陕西,120,2023-09-04,2023,9,3,3.2,542.8299999999999,120,422.83,4.3,否,,,,,秋季,否,推荐,满意
af7dcdee9f93,女,59,56+,澳门特别行政区,世界公园,主题公园,4A,北京市,北京,100,2023-11-01,2023,11,4,7.6,100.0,100,0.0,4.3,是,2708.0,2.0,"来宾金秀圣堂山,上海大观园,万年冰洞",高铁+大巴,秋季,否,推荐,满意
211deccffe7b,男,26,26-35,山西省,悬空寺,宗教文化,4A,大同市,山西,125,2023-01-24,2023,1,1,1.0,190.3,125,65.3,3.6,否,,,,,冬季,是,推荐,满意
13772050ad82,女,54,46-55,青海省,孝感双峰山,自然风光,4A,孝感市,湖北,45,2025-01-05,2025,1,1,1.9,524.51,45,479.51,4.7,是,5048.0,2.0,"鼋头渚,深圳世界之窗,龙门石窟,太极洞,长沙世界之窗",高铁+大巴,冬季,是,强烈推荐,非常满意
8c7b8b016ade,男,59,56+,湖南省,铜陵天井湖,自然风光,4A,铜陵市,安徽,0,2024-01-14,2024,1,1,4.8,114.2,0,114.2,3.8,否,,,,,冬季,是,推荐,满意
ecab5bbcace4,男,52,46-55,西藏自治区,曲阜三孔,历史文化,5A,济宁市,山东,140,2022-05-15,2022,5,2,4.2,160.87,140,20.87,4.5,是,4208.0,1.0,"黑河瑷珲古城,天柱山,唐山南湖,潍坊青州古城,深圳世界之窗",飞机+大巴,春季,是,强烈推荐,非常满意
5e1adcfb2668,男,37,36-45,北京市,七台河勃利西大圈,自然风光,4A,七台河市,黑龙江,30,2025-03-08,2025,3,1,2.0,117.54,30,87.54,4.7,否,,,,,春季,是,强烈推荐,非常满意
25c5794dad9b,女,19,18-25,内蒙古自治区,西安钟鼓楼,历史建筑,4A,西安市,陕西,50,2023-11-12,2023,11,4,6.5,50.0,50,0.0,4.6,是,1973.0,5.0,"湄洲岛,延安革命纪念馆,黄龙,天柱山",高铁+大巴,秋季,是,强烈推荐,非常满意
85ad00b145b7,女,58,56+,澳门特别行政区,桂林两江四湖,自然风光,5A,桂林市,广西,190,2024-02-21,2024,2,1,2.9,266.04,190,76.04,4.6,否,,,,,冬季,是,强烈推荐,非常满意
3e5dcf209e83,女,50,46-55,内蒙古自治区,老君山,自然文化,5A,洛阳市,河南,100,2022-05-25,2022,5,2,4.4,100.0,100,0.0,4.7,否,,,,,春季,否,强烈推荐,非常满意
d67f43ed6f7f,女,29,26-35,山西省,大庆铁人纪念馆,红色旅游,4A,大庆市,黑龙江,0,2023-05-03,2023,5,2,1.6,356.4,0,356.4,3.9,是,1065.0,3.0,"阆中古城,运城盐湖,河池巴马长寿村,泸沽湖(云南部分)",空调大巴,春季,否,推荐,满意
ed30f9e04689,男,60,56+,青海省,衢州江郎山,自然风光,5A,衢州市,浙江,100,2022-10-22,2022,10,4,5.2,100.0,100,0.0,4.9,否,,,,,秋季,是,强烈推荐,非常满意
365ca16798b2,女,18,18-25,宁夏回族自治区,峨眉山,自然文化,5A,乐山市,四川,160,2023-07-28,2023,7,3,2.7,517.45,160,357.45,4.4,是,981.0,4.0,"清源山,金山岭长城,四姑娘山,雁门关",高铁+大巴,夏季,否,推荐,满意
93aebb68571f,男,60,56+,海南省,长白山,自然风光,5A,延边州,吉林,125,2024-02-04,2024,2,1,4.6,125.0,125,0.0,4.4,是,670.0,3.0,"抚顺赫图阿拉城,泸沽湖(云南部分),龙岩冠豸山,大兴安岭漠河北极村,来宾金秀圣堂山,木兰文化生态旅游区",空调大巴,冬季,是,推荐,满意
40e61e3e93d6,女,56,56+,江西省,剑门关,历史文化,5A,广元市,四川,105,2024-01-23,2024,1,1,5.6,463.79,105,358.79,5.0,否,,,,,冬季,是,强烈推荐,非常满意
0613fb6c58e4,男,34,26-35,宁夏回族自治区,千山,自然风光,5A,鞍山市,辽宁,80,2023-03-18,2023,3,1,6.1,471.89,80,391.89,4.6,否,,,,,春季,是,强烈推荐,非常满意
d07f1fa4f1dc,男,58,56+,广东省,阳朔西街,古镇风情,4A,桂林市,广西,0,2022-10-16,2022,10,4,7.9,117.63,0,117.63,3.6,否,,,,,秋季,是,推荐,满意
1b08160d4f92,女,64,56+,广西壮族自治区,岳麓山,自然文化,5A,长沙市,湖南,0,2022-10-28,2022,10,4,2.7,0.0,0,0.0,4.8,否,,,,,秋季,是,强烈推荐,非常满意
9e44a3117902,女,21,18-25,西藏自治区,中国雪乡,自然风光,4A,牡丹江市,黑龙江,120,2023-04-10,2023,4,2,3.0,120.0,120,0.0,4.1,是,1168.0,2.0,"鸡公山,峨眉山,运城盐湖,台儿庄古城,皇城相府,福建土楼",高铁+大巴,春季,否,推荐,满意
7bd3cf149aa7,男,23,18-25,北京市,七台河勃利西大圈,自然风光,4A,七台河市,黑龙江,30,2023-11-29,2023,11,4,4.2,30.0,30,0.0,4.9,否,,,,,秋季,否,强烈推荐,非常满意
da5fd1eb3325,男,19,18-25,辽宁省,深圳东部华侨城,主题公园,5A,深圳市,广东,180,2024-10-05,2024,10,4,6.2,403.96,180,223.96,4.6,否,,,,,秋季,是,强烈推荐,非常满意
63302742274f,女,43,36-45,山西省,太原汾河公园,城市公园,4A,太原市,山西,0,2024-09-20,2024,9,3,2.1,444.34,0,444.34,4.7,否,,,,,秋季,否,强烈推荐,非常满意
d5b3cfe71bdc,男,54,46-55,吉林省,绥化金龟山庄,自然风光,4A,绥化市,黑龙江,50,2025-01-24,2025,1,1,7.6,384.29,50,334.29,4.6,否,,,,,冬季,是,强烈推荐,非常满意
95204e95b0d0,男,42,36-45,青海省,河池巴马长寿村,民俗文化,4A,河池市,广西,0,2023-12-19,2023,12,4,2.9,264.98,0,264.98,3.7,否,,,,,冬季,否,推荐,满意
36dbb16468ff,男,70,56+,山西省,天堂寨,自然风光,5A,六安市,安徽,115,2022-08-06,2022,8,3,4.4,408.36,115,293.36,5.0,否,,,,,夏季,是,强烈推荐,非常满意
2a83dc493346,女,31,26-35,天津市,黑河瑷珲古城,历史文化,4A,黑河市,黑龙江,50,2023-05-25,2023,5,2,6.6,491.15,50,441.15,4.3,是,4208.0,1.0,"黑河瑷珲古城,天柱山,唐山南湖,潍坊青州古城,深圳世界之窗",飞机+大巴,春季,否,推荐,满意
57b06384d286,女,29,26-35,湖南省,大连老虎滩海洋公园,主题公园,5A,大连市,辽宁,220,2023-02-26,2023,2,1,7.6,220.0,220,0.0,5.0,否,,,,,冬季,是,强烈推荐,非常满意
e3a005476887,女,29,26-35,广东省,龟峰,自然风光,5A,上饶市,江西,60,2023-03-30,2023,3,1,2.6,60.0,60,0.0,5.0,否,,,,,春季,否,强烈推荐,非常满意
99e2a5eaedeb,男,54,46-55,贵州省,丹霞山,自然风光,5A,韶关市,广东,100,2024-05-02,2024,5,2,4.0,100.0,100,0.0,4.9,否,,,,,春季,否,强烈推荐,非常满意
cb182e9b4e42,女,70,56+,内蒙古自治区,恭王府,历史建筑,5A,北京市,北京,40,2024-05-16,2024,5,2,2.2,436.91,40,396.91,4.4,否,,,,,春季,否,推荐,满意
42d99133bdf2,女,64,56+,香港特别行政区,长白山,自然风光,5A,延边州,吉林,125,2022-09-10,2022,9,3,3.6,125.0,125,0.0,4.5,是,4648.0,4.0,"上海辰山植物园,终南山,太阳岛",空调大巴,秋季,是,强烈推荐,非常满意
64e178055a97,女,20,18-25,贵州省,云冈石窟,历史文化,5A,大同市,山西,120,2023-07-02,2023,7,3,1.8,411.87,120,291.87,4.6,否,,,,,夏季,是,强烈推荐,非常满意
8fb34eb350bb,男,52,46-55,台湾省,清东陵,历史遗址,5A,唐山市,河北,108,2023-09-06,2023,9,3,4.5,344.78,108,236.78,4.1,否,,,,,秋季,否,推荐,满意
a0d34b7a4f29,男,53,46-55,四川省,嵖岈山,自然风光,5A,驻马店市,河南,70,2025-04-16,2025,4,2,3.7,70.0,70,0.0,4.6,是,6013.0,6.0,"常家庄园,鼋头渚,采石矶,鄱阳湖",高铁+大巴,春季,否,强烈推荐,非常满意
536ec3193389,男,27,26-35,四川省,安源路矿工人运动纪念馆,红色旅游,4A,萍乡市,江西,0,2022-07-29,2022,7,3,5.0,0.0,0,0.0,3.9,否,,,,,夏季,否,推荐,满意
061cfa8f99be,男,55,46-55,江西省,芙蓉镇,古镇风情,4A,湘西州,湖南,75,2024-01-12,2024,1,1,2.7,297.76,75,222.76,4.1,否,,,,,冬季,是,推荐,满意
805c86ee8b1c,女,24,18-25,云南省,阆中古城,古镇风情,5A,南充市,四川,120,2023-08-08,2023,8,3,7.3,553.55,120,433.55,4.3,否,,,,,夏季,否,推荐,满意
289590630312,男,62,56+,宁夏回族自治区,北海公园,城市公园,4A,北京市,北京,10,2022-10-18,2022,10,4,6.0,10.0,10,0.0,4.5,否,,,,,秋季,是,强烈推荐,非常满意
aefac6abd059,男,24,18-25,黑龙江省,紫鹊界梯田,自然风光,4A,娄底市,湖南,68,2022-12-26,2022,12,4,7.6,68.0,68,0.0,4.5,是,742.0,5.0,"湄洲岛,壶口瀑布,东莞可园",空调大巴,冬季,否,强烈推荐,非常满意
bef1418ac982,女,50,46-55,西藏自治区,晋祠,历史文化,4A,太原市,山西,80,2024-12-21,2024,12,4,4.8,260.28,80,180.28,4.3,否,,,,,冬季,是,推荐,满意
abc214c4da2e,男,60,56+,辽宁省,烟台山,自然风光,4A,烟台市,山东,50,2022-07-20,2022,7,3,1.4,291.36,50,241.36,4.8,是,5514.0,4.0,"黄龙,吴桥杂技大世界,紫鹊界梯田",高铁+大巴,夏季,否,强烈推荐,非常满意
4b1793cb48c1,女,21,18-25,河北省,大理古城,古镇风情,4A,大理州,云南,0,2023-01-06,2023,1,1,5.0,0.0,0,0.0,3.8,是,7747.0,6.0,"九一八历史博物馆,台儿庄古城,王家大院,衡水湖,海口火山口",高铁+大巴,冬季,是,推荐,满意
6f8ca197fb15,女,40,36-45,湖北省,六鼎山,宗教文化,5A,延边州,吉林,110,2024-03-30,2024,3,1,5.3,514.95,110,404.95,5.0,否,,,,,春季,是,强烈推荐,非常满意
03e585a6e1aa,女,56,56+,辽宁省,葫芦岛兴城古城,历史文化,4A,葫芦岛市,辽宁,50,2024-11-08,2024,11,4,2.9,226.69,50,176.69,4.5,是,1538.0,7.0,"老君山,大庆铁人纪念馆,恭王府",空调大巴,秋季,否,强烈推荐,非常满意
e24590c6b88b,男,30,26-35,湖北省,海螺沟,自然风光,5A,甘孜州,四川,90,2024-09-15,2024,9,3,3.7,110.34,90,20.34,4.7,是,6693.0,6.0,"朱家角古镇,厦门园林植物园,恭王府,鄱阳湖,武功山",高铁+大巴,秋季,是,强烈推荐,非常满意
6e93a04a70df,女,21,18-25,海南省,西安城墙,历史建筑,5A,西安市,陕西,54,2024-07-04,2024,7,3,6.7,354.13,54,300.13,4.8,否,,,,,夏季,否,强烈推荐,非常满意
7ebaca00130e,男,28,26-35,西藏自治区,武夷山,自然文化,5A,南平市,福建,140,2024-12-22,2024,12,4,3.5,582.14,140,442.14,4.0,否,,,,,冬季,是,推荐,满意
c535cacd37c0,女,44,36-45,重庆市,西柏坡,红色旅游,5A,石家庄市,河北,0,2023-11-25,2023,11,4,1.9,470.81,0,470.81,4.7,否,,,,,秋季,是,强烈推荐,非常满意
9638eced6411,女,36,36-45,山东省,九一八历史博物馆,红色旅游,4A,沈阳市,辽宁,0,2023-08-03,2023,8,3,7.9,177.62,0,177.62,4.2,否,,,,,夏季,否,推荐,满意
de10103315dd,男,70,56+,江西省,武当山,自然文化,5A,十堰市,湖北,243,2023-03-25,2023,3,1,7.5,322.27,243,79.27,4.1,否,,,,,春季,是,推荐,满意
43c604954e5b,男,26,26-35,广西壮族自治区,绥化金龟山庄,自然风光,4A,绥化市,黑龙江,50,2024-01-03,2024,1,1,1.1,378.69,50,328.69,4.0,是,1785.0,5.0,"潜江曹禺公园,芦芽山,廊坊天下第一城,花山谜窟",高铁+大巴,冬季,是,推荐,满意
e8599cebd441,男,25,18-25,天津市,亳州花戏楼,历史建筑,4A,亳州市,安徽,60,2023-04-08,2023,4,2,5.2,114.67,60,54.67,4.5,否,,,,,春季,是,强烈推荐,非常满意
db8653e114a3,男,18,18-25,吉林省,南山文化旅游区,宗教文化,5A,三亚市,海南,129,2023-01-15,2023,1,1,2.4,624.87,129,495.87,4.6,否,,,,,冬季,是,强烈推荐,非常满意
d9efe28fffef,男,30,26-35,海南省,西塘古镇,古镇风情,5A,嘉兴市,浙江,95,2023-11-14,2023,11,4,5.6,95.0,95,0.0,5.0,否,,,,,秋季,否,强烈推荐,非常满意
1d11ce9ae0cb,男,61,56+,福建省,汉阳陵,历史遗址,4A,咸阳市,陕西,70,2023-08-06,2023,8,3,4.0,202.1,70,132.1,4.7,否,,,,,夏季,是,强烈推荐,非常满意
ba3853c604ff,女,54,46-55,天津市,悬空寺,宗教文化,4A,大同市,山西,125,2022-11-23,2022,11,4,4.5,384.66,125,259.66,3.9,是,5163.0,2.0,"九华山,石林,北戴河,潮州广济桥,白云山",高铁+大巴,秋季,否,推荐,满意
5a2ffdd7378f,女,34,26-35,北京市,大庆铁人纪念馆,红色旅游,4A,大庆市,黑龙江,0,2022-11-01,2022,11,4,2.8,0.0,0,0.0,4.7,是,2578.0,3.0,"上海世纪公园,柳叶湖,防川风景区,木兰文化生态旅游区,常家庄园,山海关",飞机+大巴,秋季,否,强烈推荐,非常满意
ef34631f2ba0,男,37,36-45,重庆市,韶山,红色旅游,5A,湘潭市,湖南,60,2024-01-29,2024,1,1,6.4,60.0,60,0.0,4.9,否,,,,,冬季,是,强烈推荐,非常满意
f5ba94b53306,女,20,18-25,海南省,回民街,美食街区,3A,西安市,陕西,0,2023-01-06,2023,1,1,5.5,0.0,0,0.0,3.1,否,,,,,冬季,是,一般,一般
193cbad2d502,男,61,56+,浙江省,黄鹤楼,历史建筑,5A,武汉市,湖北,70,2022-12-01,2022,12,4,7.0,70.0,70,0.0,3.8,是,3203.0,3.0,"龙湾群国家森林公园,青岛啤酒博物馆,杜甫草堂,琼海博鳌亚洲论坛,赵州桥",飞机+大巴,冬季,否,推荐,满意
443ff0d30af9,男,63,56+,内蒙古自治区,剑门关,历史文化,5A,广元市,四川,105,2023-08-25,2023,8,3,4.3,313.03,105,208.03,4.3,否,,,,,夏季,否,推荐,满意
febbe911b2ec,女,59,56+,安徽省,红旗渠,红色旅游,5A,安阳市,河南,80,2022-05-04,2022,5,2,6.2,316.7,80,236.7,4.7,否,,,,,春季,否,强烈推荐,非常满意
874df4f20abe,女,46,46-55,安徽省,故宫博物院,历史文化,5A,北京市,北京,60,2022-05-19,2022,5,2,2.6,188.93,60,128.93,4.5,否,,,,,春季,否,强烈推荐,非常满意
a8c427abf137,男,46,46-55,辽宁省,伊春五营国家森林公园,自然风光,4A,伊春市,黑龙江,60,2024-04-10,2024,4,2,5.5,127.37,60,67.37,4.8,是,1131.0,3.0,"深圳东部华侨城,岳阳君山岛,北京动物园,云南民族村,阆中古城",空调大巴,春季,否,强烈推荐,非常满意
3f720f2f94e7,男,29,26-35,广东省,上海欢乐谷,主题公园,4A,上海市,上海,230,2024-10-04,2024,10,4,4.5,230.0,230,0.0,3.9,是,2932.0,2.0,"南岳衡山,泸沽湖(云南部分),大庆铁人纪念馆,宁德鸳鸯溪,太行山大峡谷",飞机+大巴,秋季,是,推荐,满意
9fcd0ecea415,女,50,46-55,上海市,少林寺,宗教文化,5A,郑州市,河南,100,2023-04-11,2023,4,2,2.1,100.0,100,0.0,4.5,否,,,,,春季,否,强烈推荐,非常满意
091ba108770f,女,60,56+,上海市,秦始皇兵马俑,历史遗址,5A,西安市,陕西,120,2023-10-03,2023,10,4,1.1,484.01,120,364.01,4.6,否,,,,,秋季,是,强烈推荐,非常满意
b12a700b781e,女,55,46-55,安徽省,大庆铁人纪念馆,红色旅游,4A,大庆市,黑龙江,0,2023-10-05,2023,10,4,6.8,450.11,0,450.11,4.5,否,,,,,秋季,是,强烈推荐,非常满意
8de69b178b8a,女,40,36-45,辽宁省,韶山,红色旅游,5A,湘潭市,湖南,60,2025-04-24,2025,4,2,2.2,60.0,60,0.0,5.0,否,,,,,春季,否,强烈推荐,非常满意
fd0034cac8e9,男,70,56+,河南省,鼓浪屿,历史文化,5A,厦门市,福建,90,2024-02-02,2024,2,1,5.0,90.0,90,0.0,4.1,否,,,,,冬季,是,推荐,满意
9c564503dd9a,男,42,36-45,湖北省,白山长白山大峡谷,自然风光,4A,白山市,吉林,125,2024-04-25,2024,4,2,4.4,488.16,125,363.16,4.6,否,,,,,春季,否,强烈推荐,非常满意
444523692db6,男,68,56+,吉林省,芙蓉镇,古镇风情,4A,湘西州,湖南,75,2025-02-13,2025,2,1,5.7,75.0,75,0.0,4.7,是,2401.0,7.0,"天堂寨,上海辰山植物园,三亚亚龙湾,中国雪乡",高铁+大巴,冬季,是,强烈推荐,非常满意
212f9f68a6f3,男,31,26-35,湖北省,潍坊青州古城,古镇风情,5A,潍坊市,山东,0,2024-03-09,2024,3,1,4.6,133.21,0,133.21,4.0,是,2672.0,2.0,"龙门石窟,寿县古城,泸沽湖(云南部分)",空调大巴,春季,是,推荐,满意
8f3101bbd886,女,55,46-55,湖北省,河池巴马长寿村,民俗文化,4A,河池市,广西,0,2023-05-01,2023,5,2,5.4,0.0,0,0.0,4.4,是,4822.0,6.0,"廊坊天下第一城,三江程阳八寨,乌镇",空调大巴,春季,否,推荐,满意
0a3bb6a7cfe0,女,36,36-45,吉林省,大连森林动物园,动物园,4A,大连市,辽宁,120,2022-05-20,2022,5,2,4.1,289.56,120,169.56,4.2,否,,,,,春季,否,推荐,满意
9390e7fd3750,女,44,36-45,山西省,福建土楼,历史建筑,5A,龙岩市,福建,100,2023-11-28,2023,11,4,2.9,221.78,100,121.78,3.9,否,,,,,秋季,否,推荐,满意
d95093d5490e,男,54,46-55,香港特别行政区,昆明世博园,主题公园,5A,昆明市,云南,100,2025-01-17,2025,1,1,2.7,589.64,100,489.64,5.0,否,,,,,冬季,是,强烈推荐,非常满意
8e2da18f023e,男,47,46-55,吉林省,陕西历史博物馆,文博院馆,4A,西安市,陕西,0,2024-12-19,2024,12,4,4.9,0.0,0,0.0,4.4,否,,,,,冬季,否,推荐,满意
fbfdbcc5e766,女,56,56+,安徽省,珠海长隆海洋王国,主题公园,5A,珠海市,广东,395,2024-02-05,2024,2,1,4.3,469.04,395,74.04,5.0,否,,,,,冬季,是,强烈推荐,非常满意
e468a46e8608,女,48,46-55,西藏自治区,防川风景区,自然风光,4A,延边州,吉林,70,2024-08-11,2024,8,3,2.6,492.22,70,422.22,4.8,否,,,,,夏季,是,强烈推荐,非常满意
33a1a338f7af,女,69,56+,新疆维吾尔自治区,泉州开元寺,宗教文化,4A,泉州市,福建,0,2024-12-13,2024,12,4,3.0,0.0,0,0.0,3.7,否,,,,,冬季,否,推荐,满意
efb212e94baa,男,20,18-25,山西省,随州炎帝故里,历史文化,4A,随州市,湖北,60,2024-03-10,2024,3,1,1.0,183.06,60,123.06,4.6,否,,,,,春季,是,强烈推荐,非常满意
6b28dd6bf779,女,70,56+,甘肃省,泉州开元寺,宗教文化,4A,泉州市,福建,0,2025-04-12,2025,4,2,5.1,129.6,0,129.6,3.9,是,3114.0,7.0,"五大连池,青岛啤酒博物馆,世界公园",高铁+大巴,春季,是,推荐,满意
b169b3964a4a,女,41,36-45,重庆市,瘦西湖,自然风光,5A,扬州市,江苏,150,2023-07-14,2023,7,3,7.7,381.31,150,231.31,4.2,否,,,,,夏季,否,推荐,满意
46df854fc11b,女,22,18-25,北京市,岳阳君山岛,自然风光,5A,岳阳市,湖南,78,2023-03-11,2023,3,1,7.6,78.0,78,0.0,5.0,否,,,,,春季,是,强烈推荐,非常满意
cd478778d7a4,女,42,36-45,湖南省,沂蒙山,自然风光,5A,临沂市,山东,70,2023-02-14,2023,2,1,4.5,346.27,70,276.27,4.6,是,810.0,1.0,"剑门关,河池巴马长寿村,大兴安岭漠河北极村,西塘古镇",高铁+大巴,冬季,是,强烈推荐,非常满意
41af3a94fdf7,男,28,26-35,新疆维吾尔自治区,嘉兴南湖,红色旅游,5A,嘉兴市,浙江,60,2023-12-01,2023,12,4,4.1,473.63,60,413.63,4.6,是,4724.0,7.0,"鹤岗萝北名山岛,西塘古镇,常州中华恐龙园,金石滩,金山岭长城",空调大巴,冬季,否,强烈推荐,非常满意
c35cdd132904,女,48,46-55,陕西省,东方明珠,城市地标,5A,上海市,上海,220,2024-05-17,2024,5,2,5.5,697.4100000000001,220,477.41,4.4,是,4082.0,1.0,"重渡沟,国家博物馆,中国雪乡,涠洲岛,长白山,罗浮山",高铁+大巴,春季,否,推荐,满意
