景点名称,所在城市,所在省份,景点类型,景点等级,游客样本量,平均评分,平均消费金额,平均门票价格,平均访问时长(小时),跟团占比(%),节假日访问占比(%),高频季节,高频交通方式,高频游客来源省,推荐程度分布,满意度分布,匹配素材标题,匹配素材路径,预览图路径
东方明珠,上海市,上海,城市地标,5A,253,4.62,416.66,220.0,4.46,31.23,45.85,冬季(71) / 秋季(68),空调大巴(34) / 飞机+大巴(23) / 高铁+大巴(22),河南省(13) / 湖北省(11) / 福建省(11) / 北京市(11) / 天津市(10),强烈推荐(174) / 推荐(79),非常满意(174) / 满意(79),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
北海公园,北京市,北京,城市公园,4A,253,4.5,190.83,10.0,4.33,29.25,50.59,冬季(69) / 夏季(62),飞机+大巴(30) / 高铁+大巴(26) / 空调大巴(18),新疆维吾尔自治区(12) / 安徽省(11) / 宁夏回族自治区(10) / 河南省(10) / 香港特别行政区(10),强烈推荐(140) / 推荐(113),非常满意(140) / 满意(113),北海旅游攻略,D:\wzb\全部131个景点\北海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_020.png
崇圣寺三塔,大理州,云南,宗教文化,5A,253,4.28,246.25,75.0,4.32,27.67,51.38,春季(69) / 冬季(68),空调大巴(30) / 飞机+大巴(20) / 高铁+大巴(20),广东省(13) / 福建省(13) / 浙江省(11) / 青海省(11) / 吉林省(10),推荐(173) / 强烈推荐(80),满意(173) / 非常满意(80),大理,D:\wzb\全部131个景点\大理.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_038.png
凤凰古城,湘西州,湖南,古镇风情,4A,253,4.21,318.71,148.0,4.38,27.67,47.43,冬季(79) / 夏季(61),高铁+大巴(32) / 空调大巴(21) / 飞机+大巴(17),广东省(15) / 海南省(12) / 上海市(11) / 江苏省(11) / 山东省(10),推荐(190) / 强烈推荐(63),满意(190) / 非常满意(63),凤凰,D:\wzb\全部131个景点\凤凰.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_017.png
峨眉山,乐山市,四川,自然文化,5A,252,4.66,348.14,160.0,4.61,32.94,44.05,夏季(75) / 秋季(70),飞机+大巴(31) / 高铁+大巴(26) / 空调大巴(26),安徽省(14) / 北京市(12) / 青海省(11) / 江苏省(11) / 福建省(10),强烈推荐(187) / 推荐(65),非常满意(187) / 满意(65),峨眉山旅游攻略,D:\wzb\全部131个景点\峨眉山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_047.png
横店影视城,金华市,浙江,主题公园,5A,252,4.52,496.26,310.0,4.47,32.54,50.4,冬季(67) / 秋季(64),高铁+大巴(31) / 空调大巴(26) / 飞机+大巴(25),青海省(15) / 安徽省(12) / 陕西省(12) / 海南省(11) / 香港特别行政区(11),强烈推荐(144) / 推荐(108),非常满意(144) / 满意(108),横店攻略,D:\wzb\全部131个景点\横店攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_073.png
武当山,十堰市,湖北,自然文化,5A,252,4.49,413.55,243.0,4.53,32.14,45.63,秋季(69) / 春季(65),空调大巴(29) / 飞机+大巴(26) / 高铁+大巴(26),重庆市(12) / 四川省(11) / 天津市(11) / 河南省(10) / 澳门特别行政区(10),强烈推荐(138) / 推荐(114),非常满意(138) / 满意(114),武当山,D:\wzb\全部131个景点\武当山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_075.png
九一八历史博物馆,沈阳市,辽宁,红色旅游,4A,252,4.4,172.33,0.0,4.51,30.56,46.03,夏季(78) / 春季(64),空调大巴(29) / 高铁+大巴(24) / 飞机+大巴(24),云南省(15) / 甘肃省(13) / 江苏省(13) / 河南省(11) / 香港特别行政区(10),推荐(139) / 强烈推荐(113),满意(139) / 非常满意(113),沈阳旅游攻略,D:\wzb\全部131个景点\沈阳旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_077.png
雾凇岛,吉林市,吉林,自然奇观,4A,252,4.21,235.16,60.0,4.63,32.54,44.05,春季(73) / 冬季(67),高铁+大巴(32) / 飞机+大巴(31) / 空调大巴(19),四川省(14) / 广东省(13) / 安徽省(13) / 上海市(12) / 西藏自治区(12),推荐(190) / 强烈推荐(62),满意(190) / 非常满意(62),,,
上海影视乐园,上海市,上海,主题公园,4A,251,4.48,272.65,80.0,4.67,25.1,44.22,夏季(70) / 冬季(69),飞机+大巴(24) / 空调大巴(21) / 高铁+大巴(18),上海市(13) / 四川省(12) / 河南省(11) / 天津市(11) / 香港特别行政区(10),强烈推荐(130) / 推荐(121),非常满意(130) / 满意(121),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
岳麓山,长沙市,湖南,自然文化,5A,251,4.39,154.4,0.0,4.49,28.69,45.82,秋季(71) / 春季(65),飞机+大巴(26) / 高铁+大巴(24) / 空调大巴(22),辽宁省(15) / 安徽省(11) / 澳门特别行政区(11) / 福建省(11) / 河北省(11),推荐(145) / 强烈推荐(106),满意(145) / 非常满意(106),长沙,D:\wzb\全部131个景点\长沙.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_120.png
绥化金龟山庄,绥化市,黑龙江,自然风光,4A,251,4.3,236.66,50.0,4.29,30.68,42.23,春季(71) / 夏季(67),高铁+大巴(28) / 飞机+大巴(27) / 空调大巴(22),山西省(16) / 香港特别行政区(12) / 江苏省(12) / 宁夏回族自治区(11) / 吉林省(9),推荐(158) / 强烈推荐(93),满意(158) / 非常满意(93),,,
广府古城,邯郸市,河北,古镇风情,5A,251,4.28,263.47,90.0,4.62,33.86,47.01,春季(75) / 冬季(69),空调大巴(30) / 高铁+大巴(28) / 飞机+大巴(27),台湾省(11) / 安徽省(10) / 云南省(10) / 辽宁省(10) / 西藏自治区(10),推荐(168) / 强烈推荐(83),满意(168) / 非常满意(83),,,
千佛山,济南市,山东,自然文化,4A,251,4.0,206.75,30.0,4.47,33.07,49.4,秋季(71) / 夏季(62),空调大巴(30) / 高铁+大巴(29) / 飞机+大巴(24),香港特别行政区(13) / 江西省(12) / 河南省(11) / 山东省(11) / 海南省(11),推荐(237) / 强烈推荐(14),满意(237) / 非常满意(14),济南旅游攻略,D:\wzb\全部131个景点\济南旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_081.png
五台山,忻州市,山西,宗教文化,5A,250,4.66,336.13,135.0,4.33,26.8,43.6,夏季(67) / 春季(67),高铁+大巴(26) / 空调大巴(23) / 飞机+大巴(18),北京市(12) / 河南省(12) / 江苏省(11) / 上海市(11) / 宁夏回族自治区(10),强烈推荐(174) / 推荐(76),非常满意(174) / 满意(76),五台山,D:\wzb\全部131个景点\五台山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_015.png
秦始皇兵马俑,西安市,陕西,历史遗址,5A,250,4.59,302.24,120.0,4.71,27.6,48.8,夏季(72) / 秋季(65),高铁+大巴(27) / 空调大巴(25) / 飞机+大巴(17),台湾省(14) / 天津市(13) / 上海市(12) / 福建省(12) / 北京市(12),强烈推荐(161) / 推荐(89),非常满意(161) / 满意(89),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
香格里拉,迪庆州,云南,自然文化,5A,250,4.4,189.3,0.0,4.56,25.6,49.2,夏季(66) / 冬季(65),高铁+大巴(24) / 飞机+大巴(20) / 空调大巴(20),湖北省(14) / 湖南省(13) / 浙江省(10) / 河北省(10) / 宁夏回族自治区(10),推荐(130) / 强烈推荐(120),满意(130) / 非常满意(120),香格里拉,D:\wzb\全部131个景点\香格里拉.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_127.png
乾陵,咸阳市,陕西,历史遗址,4A,250,4.08,274.96,102.0,4.42,30.0,52.8,秋季(72) / 春季(67),空调大巴(27) / 高铁+大巴(25) / 飞机+大巴(23),广西壮族自治区(12) / 广东省(12) / 山西省(12) / 江西省(11) / 福建省(10),推荐(212) / 强烈推荐(38),满意(212) / 非常满意(38),,,
潮州广济桥,潮州市,广东,历史建筑,4A,250,3.98,187.77,20.0,4.48,29.2,43.2,夏季(71) / 秋季(68),飞机+大巴(26) / 空调大巴(25) / 高铁+大巴(22),海南省(12) / 湖南省(12) / 江苏省(12) / 浙江省(11) / 广东省(11),推荐(237) / 强烈推荐(13),满意(237) / 非常满意(13),,,
延安革命纪念馆,延安市,陕西,红色旅游,5A,249,4.64,177.03,0.0,4.53,26.1,46.18,秋季(68) / 冬季(67),飞机+大巴(27) / 高铁+大巴(20) / 空调大巴(18),四川省(15) / 吉林省(14) / 天津市(11) / 广东省(10) / 台湾省(10),强烈推荐(182) / 推荐(67),非常满意(182) / 满意(67),,,
东湖,武汉市,湖北,自然风光,5A,249,4.59,186.23,0.0,4.57,30.52,49.4,冬季(64) / 秋季(63),空调大巴(28) / 高铁+大巴(25) / 飞机+大巴(23),福建省(13) / 广西壮族自治区(12) / 安徽省(11) / 天津市(11) / 江苏省(11),强烈推荐(158) / 推荐(91),非常满意(158) / 满意(91),武汉,D:\wzb\全部131个景点\武汉.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_076.png
肇庆星湖,肇庆市,广东,自然风光,5A,248,4.83,248.22,78.0,4.4,27.42,41.53,冬季(70) / 春季(68),高铁+大巴(28) / 空调大巴(27) / 飞机+大巴(13),陕西省(13) / 青海省(11) / 浙江省(10) / 湖北省(10) / 甘肃省(9),强烈推荐(237) / 推荐(11),非常满意(237) / 满意(11),,,
景德镇古窑,景德镇市,江西,历史文化,5A,248,4.76,270.9,95.0,4.33,29.84,48.39,秋季(69) / 夏季(64),高铁+大巴(29) / 飞机+大巴(24) / 空调大巴(21),江苏省(12) / 湖南省(11) / 河北省(11) / 湖北省(11) / 香港特别行政区(11),强烈推荐(215) / 推荐(33),非常满意(215) / 满意(33),,,
西塘古镇,嘉兴市,浙江,古镇风情,5A,248,4.76,291.77,95.0,4.43,28.23,47.18,秋季(69) / 冬季(68),高铁+大巴(32) / 空调大巴(23) / 飞机+大巴(15),宁夏回族自治区(11) / 新疆维吾尔自治区(11) / 台湾省(11) / 安徽省(10) / 辽宁省(10),强烈推荐(211) / 推荐(37),非常满意(211) / 满意(37),西塘,D:\wzb\全部131个景点\西塘.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_107.png
长白山,延边州,吉林,自然风光,5A,248,4.43,293.29,125.0,4.34,29.84,41.94,春季(68) / 冬季(66),飞机+大巴(28) / 高铁+大巴(25) / 空调大巴(21),宁夏回族自治区(16) / 辽宁省(14) / 江苏省(12) / 天津市(12) / 黑龙江省(10),强烈推荐(125) / 推荐(123),非常满意(125) / 满意(123),长白山旅游攻略,D:\wzb\全部131个景点\长白山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_121.png
巢湖,合肥市,安徽,自然风光,4A,248,4.42,185.61,0.0,4.47,30.65,42.74,夏季(76) / 春季(64),飞机+大巴(28) / 高铁+大巴(25) / 空调大巴(23),河南省(12) / 辽宁省(11) / 西藏自治区(11) / 广东省(11) / 湖南省(11),推荐(136) / 强烈推荐(112),满意(136) / 非常满意(112),合肥旅游攻略,D:\wzb\全部131个景点\合肥旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_031.png
壶口瀑布,临汾市,山西,自然风光,4A,248,4.4,254.83,100.0,4.44,30.24,45.97,春季(68) / 秋季(64),飞机+大巴(36) / 高铁+大巴(24) / 空调大巴(15),澳门特别行政区(17) / 江苏省(13) / 辽宁省(12) / 山西省(11) / 重庆市(11),推荐(133) / 强烈推荐(115),满意(133) / 非常满意(115),,,
上海自然博物馆,上海市,上海,文博院馆,4A,248,4.29,205.75,30.0,4.42,29.84,49.6,秋季(68) / 春季(63),空调大巴(30) / 高铁+大巴(23) / 飞机+大巴(21),安徽省(15) / 湖南省(12) / 河南省(12) / 陕西省(11) / 浙江省(11),推荐(159) / 强烈推荐(89),满意(159) / 非常满意(89),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
桂林象鼻山,桂林市,广西,自然风光,4A,248,4.26,233.89,55.0,4.71,27.02,49.6,秋季(68) / 冬季(65),高铁+大巴(27) / 空调大巴(27) / 飞机+大巴(13),北京市(14) / 天津市(14) / 海南省(11) / 四川省(10) / 重庆市(10),推荐(176) / 强烈推荐(72),满意(176) / 非常满意(72),桂林旅游攻略,D:\wzb\全部131个景点\桂林旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_072.png
桃花源,常德市,湖南,自然文化,4A,248,4.22,310.67,128.0,4.69,32.26,46.37,春季(67) / 冬季(64),飞机+大巴(29) / 高铁+大巴(28) / 空调大巴(23),西藏自治区(12) / 江西省(11) / 澳门特别行政区(10) / 云南省(10) / 辽宁省(10),推荐(173) / 强烈推荐(75),满意(173) / 非常满意(75),,,
龟峰,上饶市,江西,自然风光,5A,247,4.82,225.85,60.0,4.35,27.13,45.75,冬季(75) / 夏季(59),高铁+大巴(26) / 空调大巴(25) / 飞机+大巴(16),海南省(14) / 江西省(12) / 浙江省(12) / 北京市(11) / 河北省(11),强烈推荐(236) / 推荐(11),非常满意(236) / 满意(11),,,
瘦西湖,扬州市,江苏,自然风光,5A,247,4.56,324.62,150.0,4.54,29.15,45.34,夏季(72) / 春季(69),高铁+大巴(27) / 空调大巴(26) / 飞机+大巴(19),内蒙古自治区(13) / 安徽省(11) / 四川省(11) / 西藏自治区(11) / 云南省(11),强烈推荐(153) / 推荐(94),非常满意(153) / 满意(94),扬州旅游攻略,D:\wzb\全部131个景点\扬州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_058.png
九华山,池州市,安徽,宗教文化,5A,247,4.51,335.68,160.0,4.6,30.36,46.96,春季(68) / 秋季(66),空调大巴(35) / 飞机+大巴(23) / 高铁+大巴(17),天津市(15) / 台湾省(13) / 甘肃省(12) / 江西省(11) / 吉林省(10),强烈推荐(140) / 推荐(107),非常满意(140) / 满意(107),九华山旅游攻略,D:\wzb\全部131个景点\九华山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_011.png
长沙世界之窗,长沙市,湖南,主题公园,4A,247,4.5,351.45,200.0,4.32,33.2,44.13,秋季(70) / 春季(61),空调大巴(32) / 飞机+大巴(26) / 高铁+大巴(24),安徽省(15) / 湖南省(14) / 浙江省(12) / 江苏省(12) / 澳门特别行政区(10),强烈推荐(137) / 推荐(110),非常满意(137) / 满意(110),长沙,D:\wzb\全部131个景点\长沙.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_120.png
开平碉楼,江门市,广东,历史建筑,5A,247,4.47,342.7,180.0,4.48,31.58,46.56,秋季(74) / 冬季(59),空调大巴(30) / 飞机+大巴(26) / 高铁+大巴(22),上海市(13) / 福建省(12) / 北京市(11) / 江西省(11) / 山西省(10),强烈推荐(126) / 推荐(121),非常满意(126) / 满意(121),,,
刘公岛,威海市,山东,红色旅游,5A,247,4.38,293.39,130.0,4.6,23.08,42.11,春季(68) / 夏季(65),空调大巴(21) / 飞机+大巴(19) / 高铁+大巴(17),陕西省(18) / 湖南省(13) / 浙江省(12) / 湖北省(11) / 四川省(9),推荐(148) / 强烈推荐(99),满意(148) / 非常满意(99),威海旅游攻略,D:\wzb\全部131个景点\威海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_042.png
芦芽山,忻州市,山西,自然风光,4A,247,4.16,262.58,100.0,4.71,28.34,45.34,春季(80) / 夏季(61),空调大巴(30) / 高铁+大巴(22) / 飞机+大巴(18),江苏省(16) / 四川省(11) / 广东省(11) / 西藏自治区(11) / 香港特别行政区(10),推荐(194) / 强烈推荐(53),满意(194) / 非常满意(53),,,
晋祠,太原市,山西,历史文化,4A,247,4.0,267.09,80.0,4.61,28.34,47.37,冬季(75) / 春季(63),高铁+大巴(25) / 空调大巴(23) / 飞机+大巴(22),广东省(11) / 上海市(11) / 福建省(11) / 吉林省(10) / 贵州省(10),推荐(234) / 强烈推荐(13),满意(234) / 非常满意(13),太原,D:\wzb\全部131个景点\太原.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_041.png
天堂寨,六安市,安徽,自然风光,5A,246,4.88,306.2,115.0,4.43,30.49,45.93,夏季(69) / 春季(62),空调大巴(29) / 高铁+大巴(25) / 飞机+大巴(21),湖南省(15) / 贵州省(14) / 四川省(11) / 湖北省(10) / 河北省(10),强烈推荐(246),非常满意(246),,,
